quartet_key,metric_version,source_version,source_hash,observed_nodes,observed_pairs,positive_pairs,strongest_edge,median_edge,disconnected
advertising_words__2,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,4,6,0,0.0,0.0,1
advertising_words__3,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,4,6,0,0.0,0.0,1
advertising_words__4,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,4,6,1,0.15208,0.0,0
advertising_words__5,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,3,6,1,0.02439,0.0,0
advertising_words__6,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,4,6,2,0.01075,0.0,0
advertising_words__7,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,3,6,0,0.0,0.0,1
advertising_words__8,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,4,6,2,0.01897,0.0,0
advertising_words__9,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,4,6,1,0.03117,0.0,0
african_animals__1,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,4,6,1,0.01768,0.0,0
african_animals__10,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,4,6,1,0.0458,0.0,0
african_animals__11,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,4,6,0,0.0,0.0,1
african_animals__12,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,4,6,1,0.02302,0.0,0
african_animals__13,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,4,6,2,0.06068,0.0,0
african_animals__14,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,4,6,0,0.0,0.0,1
african_animals__15,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,4,6,0,0.0,0.0,1
african_animals__16,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,3,6,0,0.0,0.0,1
african_animals__17,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,3,6,0,0.0,0.0,1
african_animals__18,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,2,5,0,0.0,0.0,1
african_animals__19,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,2,5,0,0.0,0.0,1
african_animals__2,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,4,6,1,0.02577,0.0,0
african_animals__20,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,2,5,0,0.0,0.0,1
african_animals__3,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,4,6,1,0.02278,0.0,0
african_animals__4,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,4,6,1,0.01832,0.0,0
african_animals__5,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,4,6,2,0.05729,0.0,0
african_animals__6,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,2,5,0,0.0,0.0,1
african_animals__7,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,4,6,2,0.06629,0.0,0
african_animals__8,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,4,6,1,0.01538,0.0,0
african_animals__9,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,4,6,0,0.0,0.0,1
african_cities__1,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,2,3,0,0.0,0.0,1
african_cities__10,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,0,0,0,0.0,0.0,0
african_cities__11,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,0,0,0,0.0,0.0,0
african_cities__12,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,1,0,0,0.0,0.0,0
african_cities__13,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,0,0,0,0.0,0.0,0
african_cities__14,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,0,0,0,0.0,0.0,0
african_cities__2,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,1,0,0,0.0,0.0,0
african_cities__3,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,1,3,0,0.0,0.0,1
african_cities__4,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,0,0,0,0.0,0.0,0
african_cities__5,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,1,3,0,0.0,0.0,1
african_cities__6,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,1,0,0,0.0,0.0,0
african_cities__7,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,0,0,0,0.0,0.0,0
african_cities__8,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,1,0,0,0.0,0.0,0
african_cities__9,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,1,3,0,0.0,0.0,1
african_countries__1,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,4,3,0,0.0,0.0,1
african_countries__10,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,3,0,0,0.0,0.0,0
african_countries__11,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,1,0,0,0.0,0.0,0
african_countries__12,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,2,0,0,0.0,0.0,0
african_countries__13,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,1,0,0,0.0,0.0,0
african_countries__14,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,2,0,0,0.0,0.0,0
african_countries__15,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,2,0,0,0.0,0.0,0
african_countries__16,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,2,0,0,0.0,0.0,0
african_countries__17,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,2,0,0,0.0,0.0,0
african_countries__18,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,1,0,0,0.0,0.0,0
african_countries__2,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,1,3,0,0.0,0.0,1
african_countries__3,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,3,3,0,0.0,0.0,1
african_countries__4,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,2,3,0,0.0,0.0,1
african_countries__5,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,2,3,0,0.0,0.0,1
